Student ID,Age,Gender,Academic Performance (GPA),Study Hours Per Week,Social Media Usage (Hours per day),Sleep Duration (Hours per night),Physical Exercise (Hours per week),Family Support  ,Financial Stress,Peer Pressure,Relationship Stress,Mental Stress Level,Counseling Attendance,Diet Quality,Stress Coping Mechanisms,Cognitive Distortions,Family Mental Health History,Medical Condition,Substance Use
894-36-7236,20,Female,4,1,5,4,10,5,5,5,2,3,Yes,1,Social Media Engagement,5,No,No,3
731-27-1490,29,Non-binary,4,54,1,5,8,5,1,5,3,1,No,2,Reading,5,No,No,1
669-90-1482,20,Male,4,48,7,9,4,5,5,3,2,10,No,1,Yoga,4,Yes,No,1
440-16-4165,24,Male,3,24,6,12,5,2,2,1,2,7,Yes,5,Reading,2,No,No,3
251-96-3634,24,Female,1,50,0,6,5,5,1,5,2,5,Yes,5,Talking to Friends,1,Yes,Yes,2
181-12-1436,30,Male,3,45,2,6,0,3,1,1,1,8,No,2,Yoga,2,No,No,5
765-85-9339,18,Male,3,51,7,6,6,4,1,5,3,10,Yes,3,Meditation,2,No,No,1
540-74-9445,27,Female,4,47,6,6,8,3,4,4,2,1,No,5,Travelling,3,No,Yes,2
463-46-8616,19,Male,3,32,6,11,10,3,4,2,2,4,Yes,1,Spending Time Alone,4,Yes,Yes,5
860-99-6638,19,Female,1,40,4,5,0,2,3,2,2,10,Yes,4,Yoga,1,Yes,Yes,3
472-36-1084,29,Female,0,5,6,10,9,2,5,1,2,10,Yes,5,Watching Sports,5,Yes,No,1
712-51-0033,28,Female,3,18,3,4,7,2,5,1,5,1,No,5,Meditation,1,No,No,2
426-96-1187,28,Female,0,56,1,6,1,4,2,4,3,6,Yes,4,Walking or Nature Walks,1,Yes,No,3
198-24-0404,26,Male,3,37,3,5,10,4,3,4,3,6,Yes,1,Spending Time Alone,4,Yes,Yes,5
231-51-2392,23,Male,0,32,0,11,7,5,2,3,4,7,Yes,3,Walking or Nature Walks,4,Yes,Yes,2
504-41-0664,21,Female,3,43,4,12,9,1,1,2,5,5,No,1,Talking to Friends,5,Yes,No,3
523-26-1959,18,Male,0,19,3,10,9,2,1,3,5,7,No,5,Spending Time Alone,2,Yes,Yes,3
488-87-7169,24,Male,4,29,6,8,1,2,5,3,5,2,Yes,2,Travelling,1,Yes,No,5
787-23-6149,18,Male,4,22,8,10,1,5,2,4,1,2,No,2,Watching Sports,4,Yes,No,5
650-36-5944,18,Male,2,24,1,11,0,1,1,5,5,5,Yes,5,Watching Sports,4,No,No,5
850-50-5993,30,Male,2,0,1,7,4,2,1,5,2,6,Yes,4,Travelling,1,No,No,2
344-48-6320,19,Male,4,1,4,4,7,3,4,1,5,8,Yes,1,Yoga,1,No,Yes,5
267-85-9067,29,Female,0,41,7,11,8,3,4,5,5,10,Yes,2,Walking or Nature Walks,2,Yes,Yes,4
445-01-9008,18,Female,4,29,2,12,2,5,1,1,3,10,No,4,Social Media Engagement,2,Yes,Yes,2
587-06-7007,23,Female,0,43,5,12,9,2,4,1,3,4,Yes,3,Walking or Nature Walks,3,No,No,5
412-61-2951,26,Male,0,25,5,5,1,5,5,5,3,7,No,3,Social Media Engagement,1,Yes,Yes,3
895-64-7527,18,Female,4,8,5,9,9,4,2,4,5,3,Yes,4,Travelling,2,No,No,4
634-13-9113,21,Female,3,1,2,4,5,1,2,2,1,9,Yes,4,Meditation,2,No,No,4
897-73-6775,29,Female,3,60,1,4,9,1,5,4,2,1,Yes,5,Watching Sports,4,Yes,No,2
291-38-6668,29,Male,1,48,2,8,10,2,3,2,4,5,No,1,Exercise,5,Yes,No,5
861-23-4943,24,Male,3,35,5,12,3,2,2,3,5,2,No,2,Meditation,5,Yes,Yes,5
771-43-8087,27,Female,1,50,4,6,4,3,3,5,4,5,Yes,2,Exercise,1,Yes,Yes,3
896-76-6435,29,Female,2,19,6,5,9,5,5,5,5,2,No,2,Travelling,2,No,No,1
210-48-6696,25,Polygender,3,16,6,4,7,1,5,1,4,6,Yes,5,Talking to Friends,5,Yes,Yes,5
590-51-5779,21,Female,0,36,0,9,10,1,3,4,3,3,No,2,Meditation,1,Yes,Yes,3
857-45-6864,22,Female,2,50,6,6,9,5,5,2,3,4,Yes,5,Exercise,3,No,No,5
146-61-2919,28,Male,2,38,8,6,9,3,5,4,5,2,Yes,2,Watching Sports,5,Yes,No,2
621-24-8028,24,Female,3,32,4,4,10,1,5,4,4,8,No,4,Reading,4,Yes,No,2
820-39-6059,21,Female,1,49,0,5,3,1,1,3,3,5,No,2,Spending Time Alone,2,Yes,No,4
654-40-1059,30,Genderfluid,1,16,1,12,5,3,1,5,3,2,No,3,Social Media Engagement,3,No,No,3
691-34-7594,20,Male,1,36,1,10,7,3,4,3,3,6,Yes,5,Yoga,1,No,Yes,5
294-22-0217,27,Male,4,2,1,11,4,4,5,3,5,10,No,2,Spending Time Alone,3,Yes,Yes,1
620-14-3348,19,Male,3,60,2,6,5,2,4,2,4,8,No,4,Reading,5,Yes,Yes,3
586-87-3316,19,Female,0,38,3,5,6,1,3,3,3,10,Yes,2,Travelling,5,Yes,No,3
195-34-6537,24,Female,2,48,6,12,9,1,5,1,4,1,Yes,5,Travelling,5,No,Yes,3
606-64-6926,25,Female,0,38,4,8,7,5,3,3,1,5,No,4,Meditation,2,No,No,3
390-91-0103,26,Female,3,17,1,6,8,2,5,2,2,5,Yes,1,Yoga,4,Yes,Yes,5
366-36-9831,23,Female,4,43,1,7,4,4,1,1,1,7,Yes,3,Spending Time Alone,2,Yes,Yes,3
478-75-3530,25,Male,4,46,4,11,6,4,5,4,1,3,No,2,Walking or Nature Walks,3,No,Yes,2
140-30-3552,29,Female,1,44,2,5,2,2,4,2,4,2,No,2,Travelling,1,Yes,Yes,2
506-21-6440,19,Female,2,8,7,12,5,3,2,4,3,7,Yes,3,Meditation,1,No,Yes,3
620-66-8893,19,Female,1,11,8,12,2,1,5,2,3,6,No,1,Reading,5,Yes,No,3
586-34-3444,25,Female,1,51,2,7,6,5,2,2,1,10,Yes,5,Social Media Engagement,3,Yes,No,4
605-15-7413,24,Male,4,43,6,12,5,4,1,5,2,4,No,5,Social Media Engagement,2,No,No,2
367-45-6616,26,Female,2,34,2,9,3,3,3,5,2,5,No,1,Reading,2,Yes,No,2
126-08-5321,18,Male,4,16,4,12,5,2,2,3,2,10,Yes,1,Travelling,5,No,Yes,2
318-60-4312,24,Female,1,58,6,5,3,2,5,2,2,1,No,5,Watching Sports,5,No,No,4
487-96-1364,22,Female,3,32,2,11,9,4,3,2,4,2,No,3,Social Media Engagement,1,Yes,Yes,5
264-63-9878,19,Bigender,3,5,5,6,2,1,2,1,5,4,No,4,Social Media Engagement,4,Yes,No,3
472-15-8341,26,Female,3,13,2,7,3,1,3,3,5,2,Yes,5,Travelling,2,No,Yes,3
540-08-7969,29,Female,4,32,4,10,10,4,4,1,4,8,No,2,Walking or Nature Walks,3,Yes,Yes,2
139-17-3617,25,Female,4,33,5,4,6,5,4,5,3,9,No,2,Watching Sports,2,No,No,4
770-07-2386,22,Male,3,29,0,12,1,2,2,1,4,6,Yes,2,Spending Time Alone,1,No,Yes,5
233-88-7541,18,Female,0,48,1,4,0,4,1,1,1,10,Yes,5,Talking to Friends,2,Yes,Yes,2
758-45-8170,24,Female,0,21,7,10,8,3,5,5,3,10,Yes,3,Social Media Engagement,3,Yes,Yes,4
216-56-3702,23,Bigender,1,17,2,9,3,5,2,1,3,9,Yes,1,Walking or Nature Walks,2,Yes,Yes,5
526-42-6686,30,Male,0,5,5,11,5,2,5,4,5,10,No,5,Social Media Engagement,4,Yes,No,1
726-02-8928,25,Female,0,25,1,5,6,4,1,3,3,6,Yes,4,Travelling,2,Yes,Yes,1
409-15-5570,22,Male,0,16,8,5,5,5,5,4,3,4,Yes,4,Reading,3,Yes,Yes,1
871-72-2085,25,Male,2,2,8,6,1,4,1,3,2,1,No,3,Travelling,5,No,No,3
711-96-0039,25,Female,2,21,7,9,0,1,5,1,1,9,No,4,Spending Time Alone,4,Yes,Yes,2
629-74-5325,29,Female,3,3,4,9,7,1,2,2,1,6,Yes,4,Yoga,5,No,No,4
191-76-1176,22,Agender,2,0,2,6,3,2,5,3,3,6,No,4,Spending Time Alone,5,Yes,Yes,1
511-19-9689,26,Female,0,21,0,10,0,1,3,3,2,10,Yes,2,Travelling,1,No,Yes,4
817-56-1216,30,Agender,1,22,0,7,3,1,4,5,2,4,Yes,3,Yoga,1,No,Yes,4
890-06-6056,19,Male,2,4,3,12,2,3,3,1,3,10,No,2,Watching Sports,3,No,Yes,2
568-72-9492,26,Female,0,18,7,4,4,4,5,3,3,9,Yes,2,Yoga,5,No,Yes,1
445-18-5494,20,Male,2,37,2,6,6,1,3,5,4,6,Yes,2,Spending Time Alone,2,Yes,Yes,4
323-01-0451,26,Female,3,39,1,4,6,5,4,2,2,5,No,3,Social Media Engagement,1,Yes,Yes,2
360-64-8328,26,Male,3,34,0,9,9,1,1,4,3,1,No,5,Spending Time Alone,1,No,No,4
365-22-3619,19,Female,0,36,1,4,0,4,5,1,4,8,No,1,Travelling,3,No,Yes,2
565-92-5987,25,Male,0,52,4,7,9,3,2,1,4,3,No,1,Walking or Nature Walks,1,No,Yes,1
774-41-4155,27,Male,4,8,7,8,1,1,2,2,2,6,No,4,Walking or Nature Walks,3,Yes,Yes,1
865-88-4728,24,Female,3,55,6,9,10,5,4,4,5,7,No,1,Spending Time Alone,1,Yes,Yes,3
140-37-3029,25,Male,2,45,7,4,4,5,5,5,2,6,No,5,Meditation,4,Yes,No,3
221-70-4223,28,Male,2,33,8,4,0,1,2,2,5,9,No,1,Reading,5,No,No,3
729-02-5651,28,Female,1,56,5,11,7,5,4,1,1,9,Yes,2,Spending Time Alone,1,Yes,Yes,2
765-72-6831,25,Male,0,35,4,10,8,1,3,4,1,6,Yes,4,Travelling,4,No,Yes,5
704-34-2747,25,Female,1,46,2,4,2,1,1,1,3,8,Yes,3,Spending Time Alone,3,No,Yes,2
690-93-7394,24,Male,1,3,7,6,5,1,1,4,2,7,Yes,1,Social Media Engagement,3,Yes,Yes,1
487-69-5401,25,Female,2,8,8,11,1,2,5,3,3,7,No,1,Reading,3,No,Yes,3
207-60-0958,25,Male,4,44,5,12,7,5,1,1,1,2,Yes,5,Meditation,4,Yes,No,1
869-02-9564,18,Male,4,59,6,8,1,5,4,3,4,6,No,4,Exercise,4,No,No,4
447-11-5816,18,Male,3,57,7,5,2,3,1,5,5,1,No,3,Travelling,2,Yes,Yes,1
228-62-9891,19,Male,3,27,7,9,4,4,2,1,5,8,Yes,3,Yoga,1,Yes,No,4
713-31-0160,27,Female,0,23,3,10,4,3,2,1,5,2,No,4,Spending Time Alone,1,Yes,No,2
536-46-2617,26,Genderfluid,0,12,6,10,9,3,4,2,5,8,No,1,Travelling,5,No,No,1
234-47-0088,29,Male,0,48,7,10,7,5,3,5,5,1,No,2,Watching Sports,3,No,Yes,3
701-16-4276,18,Male,0,27,2,7,2,5,2,4,4,8,No,3,Spending Time Alone,4,No,No,2
436-21-2987,24,Male,1,46,5,4,10,4,5,3,2,2,Yes,2,Travelling,4,No,Yes,3
688-07-0382,18,Male,4,3,1,5,6,5,5,3,3,2,No,4,Social Media Engagement,4,No,No,2
421-55-9607,30,Female,1,6,8,4,2,4,5,2,2,3,Yes,2,Yoga,1,No,No,5
615-79-8440,24,Female,2,53,4,7,2,3,2,2,3,2,No,2,Travelling,1,Yes,No,1
450-60-6395,30,Male,0,35,3,11,8,2,4,2,2,5,No,3,Watching Sports,5,Yes,Yes,5
118-06-0554,25,Male,0,20,2,10,2,4,5,3,4,1,No,2,Travelling,5,No,No,1
343-91-1894,30,Female,3,35,3,5,8,3,2,4,4,7,No,2,Reading,5,No,No,5
438-76-7174,26,Female,2,15,8,7,5,5,4,3,1,10,Yes,2,Travelling,1,Yes,No,3
221-35-2318,20,Female,1,32,2,5,7,1,1,4,4,4,No,5,Watching Sports,5,Yes,No,4
864-86-1546,22,Male,3,49,4,5,8,4,1,5,3,2,Yes,5,Watching Sports,4,No,Yes,5
778-29-7908,20,Male,3,30,2,11,5,2,5,4,3,7,No,2,Yoga,2,No,Yes,5
288-35-3562,27,Female,4,39,8,8,5,3,4,2,4,1,No,2,Yoga,2,No,Yes,2
114-30-7352,24,Female,4,10,5,11,3,2,1,5,5,2,No,4,Social Media Engagement,2,Yes,Yes,2
320-25-0987,22,Female,0,36,7,6,2,5,3,2,5,6,No,1,Travelling,1,No,No,3
437-86-5614,26,Female,4,59,7,10,4,4,2,2,2,8,Yes,3,Travelling,5,No,Yes,5
481-51-4441,24,Female,2,16,3,10,2,5,3,5,1,2,No,4,Spending Time Alone,4,Yes,Yes,4
148-57-6730,30,Male,3,47,4,5,0,5,2,2,1,3,Yes,2,Meditation,5,Yes,Yes,1
254-22-6665,21,Female,0,33,1,12,2,1,4,1,3,2,Yes,5,Exercise,3,No,No,2
845-38-6519,25,Polygender,4,8,5,4,10,1,5,1,1,8,Yes,3,Reading,1,No,No,3
379-65-0243,30,Female,4,12,5,11,8,3,5,5,3,4,No,4,Exercise,2,Yes,No,4
522-34-7284,30,Female,1,15,0,8,3,3,5,3,4,7,Yes,4,Talking to Friends,2,Yes,No,5
565-02-4043,26,Male,4,0,5,8,5,2,2,1,4,4,Yes,1,Social Media Engagement,2,No,No,1
145-37-1963,20,Agender,2,32,3,11,1,2,3,2,2,10,No,5,Exercise,3,Yes,Yes,4
122-25-1925,26,Female,1,53,5,7,7,3,2,2,4,1,No,1,Talking to Friends,3,Yes,No,3
393-27-3064,28,Female,1,2,6,8,3,2,2,4,4,9,No,3,Spending Time Alone,4,Yes,Yes,4
705-52-8566,25,Female,0,53,5,8,3,5,1,1,3,2,Yes,1,Social Media Engagement,5,No,No,3
699-31-2060,19,Female,2,35,3,7,6,1,5,4,2,2,No,1,Reading,4,Yes,Yes,4
221-29-3352,18,Male,1,43,7,6,5,1,5,2,4,7,No,5,Travelling,4,No,No,1
171-13-5095,19,Female,4,56,5,11,5,4,5,4,1,9,Yes,2,Exercise,1,Yes,No,5
656-32-4795,23,Male,1,8,6,6,2,3,3,3,3,1,No,1,Spending Time Alone,2,No,No,3
645-66-4118,20,Male,2,14,8,8,0,4,5,1,5,2,No,5,Walking or Nature Walks,1,No,Yes,3
288-67-2367,21,Female,4,55,1,10,3,4,1,5,1,5,No,3,Meditation,4,No,Yes,1
420-20-2196,27,Bigender,2,39,1,6,1,3,1,2,1,6,No,4,Talking to Friends,1,No,Yes,4
615-50-9853,19,Male,3,3,0,10,3,4,4,3,4,8,No,1,Walking or Nature Walks,5,No,Yes,1
518-71-3190,28,Female,3,20,2,8,6,5,3,2,5,4,Yes,1,Reading,1,Yes,Yes,4
420-91-7446,20,Female,3,50,3,4,3,3,4,2,5,8,Yes,4,Spending Time Alone,2,No,No,3
557-78-4588,20,Male,4,47,7,9,2,1,4,1,4,4,Yes,1,Spending Time Alone,4,No,No,3
203-94-0930,22,Male,3,58,0,6,6,3,5,3,3,6,Yes,1,Meditation,5,No,Yes,5
328-33-1314,30,Female,3,2,3,4,10,3,5,5,5,2,No,3,Meditation,2,Yes,No,1
806-02-8150,27,Male,2,26,0,9,2,5,1,5,1,6,No,1,Walking or Nature Walks,4,No,No,5
282-41-7702,30,Female,3,59,3,4,6,1,4,5,3,3,Yes,5,Social Media Engagement,1,No,No,5
754-90-7661,18,Male,4,46,6,11,6,1,5,2,3,5,No,4,Exercise,1,Yes,No,5
571-09-2803,25,Male,0,12,5,10,2,2,2,1,5,10,Yes,3,Travelling,4,No,Yes,1
795-37-4782,30,Female,1,27,7,11,2,4,2,3,3,9,No,1,Watching Sports,1,Yes,Yes,5
717-46-4687,30,Female,4,25,1,9,5,1,4,5,3,2,Yes,1,Meditation,2,Yes,Yes,5
531-35-5421,23,Male,2,24,6,6,5,2,2,5,2,10,No,2,Yoga,1,No,No,5
727-06-5275,21,Male,3,56,4,11,6,3,3,5,5,5,No,1,Meditation,2,Yes,No,3
810-17-3394,20,Male,0,2,8,9,9,5,1,4,1,10,No,5,Watching Sports,1,No,Yes,4
378-69-3253,29,Male,4,27,4,7,0,3,3,3,2,3,No,1,Walking or Nature Walks,3,No,Yes,2
615-18-5641,18,Agender,3,7,0,8,9,2,2,3,3,5,Yes,3,Social Media Engagement,2,Yes,Yes,1
698-34-8160,25,Male,3,17,1,4,1,5,2,5,1,2,Yes,4,Yoga,2,No,No,2
383-96-7385,18,Female,4,30,1,4,4,4,2,5,3,6,Yes,3,Talking to Friends,2,Yes,No,3
702-64-1654,30,Male,3,47,8,12,8,1,1,1,2,1,No,5,Social Media Engagement,2,No,No,2
740-09-9764,28,Agender,1,34,4,11,8,2,2,1,3,4,Yes,5,Watching Sports,5,Yes,No,3
326-55-5707,25,Female,1,1,5,6,10,5,4,4,1,6,Yes,4,Social Media Engagement,1,No,No,1
320-56-4479,18,Polygender,4,14,2,5,5,5,4,5,3,3,Yes,1,Social Media Engagement,4,Yes,No,4
383-97-0460,29,Female,0,14,5,10,7,3,1,5,5,9,Yes,5,Spending Time Alone,4,No,No,1
738-49-0188,22,Male,0,55,2,5,3,2,2,1,4,2,No,2,Yoga,2,Yes,No,3
711-55-4152,23,Male,2,57,2,4,2,5,1,3,1,5,No,4,Meditation,2,Yes,Yes,3
176-78-6541,21,Female,1,7,5,11,7,4,4,4,4,2,No,4,Watching Sports,3,Yes,No,4
781-40-2585,21,Male,3,33,1,7,1,3,5,2,5,1,Yes,2,Yoga,3,Yes,Yes,3
499-98-4339,28,Female,4,58,7,7,8,3,2,1,4,2,No,4,Walking or Nature Walks,2,Yes,No,2
605-26-6514,23,Genderqueer,3,34,7,5,3,2,2,2,3,3,No,3,Reading,2,No,No,1
586-80-7262,22,Female,0,22,0,12,8,1,3,5,2,3,Yes,4,Walking or Nature Walks,4,No,Yes,4
271-48-3454,19,Male,0,8,2,7,10,5,5,4,4,7,No,1,Exercise,2,No,Yes,5
209-98-0785,19,Female,3,22,4,8,2,2,3,1,3,4,Yes,1,Reading,1,Yes,No,2
443-31-3477,26,Polygender,3,3,0,11,4,4,3,2,5,8,Yes,3,Travelling,4,Yes,No,2
519-06-1329,30,Genderqueer,3,3,4,10,0,5,3,1,3,5,Yes,5,Social Media Engagement,1,No,Yes,4
804-52-3208,24,Genderfluid,4,16,7,10,9,1,1,4,1,10,No,4,Watching Sports,3,Yes,Yes,4
481-77-7907,27,Male,2,40,4,12,10,1,2,4,1,7,No,5,Watching Sports,1,Yes,Yes,1
674-98-1276,20,Female,0,20,8,11,7,3,5,3,2,9,No,3,Meditation,4,No,No,3
707-05-8481,27,Female,4,23,4,8,5,3,4,1,1,3,No,5,Social Media Engagement,4,Yes,Yes,3
325-94-1580,18,Female,1,18,8,10,5,4,1,3,4,7,Yes,5,Watching Sports,3,Yes,Yes,1
752-96-2019,26,Female,4,41,0,5,1,1,1,3,5,9,No,4,Travelling,1,Yes,No,4
428-78-6391,21,Male,0,36,8,5,5,2,3,1,1,5,Yes,3,Reading,3,No,No,2
464-11-5678,22,Female,0,43,8,4,3,4,1,1,3,1,No,3,Meditation,2,Yes,No,3
651-96-1453,20,Male,4,12,6,4,3,4,5,1,1,6,Yes,5,Yoga,1,Yes,Yes,2
530-09-1717,23,Male,3,17,4,9,2,5,3,3,4,7,No,5,Travelling,4,Yes,Yes,4
309-47-7464,28,Female,3,10,2,4,4,2,4,4,4,4,Yes,1,Spending Time Alone,5,No,Yes,5
334-92-9954,29,Male,3,35,8,7,6,2,3,1,2,8,No,3,Social Media Engagement,5,No,No,3
463-37-4141,20,Female,2,13,7,12,0,4,3,3,2,6,Yes,3,Talking to Friends,5,No,Yes,4
788-73-1307,25,Female,0,52,2,11,9,3,1,4,2,10,No,3,Meditation,4,Yes,No,2
892-74-2771,24,Male,3,20,7,12,7,1,2,3,5,5,No,1,Reading,2,No,Yes,4
241-23-6708,25,Female,4,55,3,9,3,5,1,1,4,7,Yes,3,Walking or Nature Walks,2,Yes,Yes,3
545-56-1934,26,Female,0,30,1,10,7,5,2,3,3,10,Yes,4,Yoga,5,Yes,Yes,1
477-22-8639,26,Female,1,12,3,8,5,3,3,1,4,9,No,1,Reading,3,No,Yes,1
335-88-9255,26,Female,4,38,3,9,0,4,5,2,4,8,No,3,Reading,3,Yes,No,5
202-17-3500,20,Male,0,54,5,8,1,2,5,2,1,8,No,3,Yoga,1,No,No,5
523-31-2613,20,Male,0,37,5,6,8,4,1,3,3,4,Yes,5,Reading,5,Yes,No,5
254-42-8904,29,Female,4,50,7,12,6,4,2,1,5,2,No,1,Walking or Nature Walks,4,No,No,4
799-05-5204,27,Male,2,47,7,6,6,2,5,1,4,6,Yes,2,Spending Time Alone,3,Yes,No,2
390-16-0228,23,Female,1,9,8,8,5,2,4,5,4,1,Yes,5,Talking to Friends,2,Yes,No,1
208-48-5788,28,Female,4,2,3,5,8,5,4,4,3,9,Yes,2,Watching Sports,5,Yes,No,5
890-19-8390,21,Female,3,1,2,12,2,5,2,5,2,2,Yes,5,Yoga,3,Yes,No,3
437-37-2214,27,Female,1,60,5,6,9,3,3,2,5,8,No,5,Reading,5,Yes,No,3
110-72-8540,29,Polygender,0,58,6,7,5,1,1,4,4,3,Yes,3,Yoga,3,Yes,No,3
579-55-4938,27,Polygender,0,27,2,7,5,5,3,5,3,3,No,5,Walking or Nature Walks,5,Yes,No,1
466-18-6728,23,Female,3,2,8,10,5,1,1,3,5,6,Yes,3,Meditation,2,No,No,1
450-92-7163,30,Female,0,59,8,9,7,1,1,4,5,10,Yes,5,Social Media Engagement,3,Yes,No,1
305-74-1381,19,Male,1,35,5,11,0,2,2,4,4,8,No,5,Reading,3,No,Yes,2
479-46-7256,18,Genderqueer,0,24,6,10,6,2,3,3,4,7,No,1,Watching Sports,3,Yes,No,3
354-85-7597,27,Male,1,59,8,9,3,4,2,3,1,5,Yes,4,Reading,5,Yes,Yes,1
561-12-6582,25,Male,3,3,8,7,6,2,1,1,4,9,No,5,Social Media Engagement,4,No,No,2
851-42-5437,19,Female,4,49,5,12,3,2,5,1,3,5,No,1,Talking to Friends,5,No,Yes,3
382-54-7314,27,Male,2,35,5,10,0,5,5,3,4,9,No,5,Watching Sports,3,No,Yes,4
550-68-8072,23,Male,4,53,8,10,7,5,5,5,1,10,Yes,1,Reading,4,No,No,2
888-49-6708,20,Male,0,5,7,4,4,5,1,5,3,10,Yes,4,Yoga,5,No,Yes,4
593-90-7730,30,Male,4,36,4,8,0,5,1,5,4,10,No,4,Spending Time Alone,3,Yes,Yes,5
309-75-5842,19,Male,2,14,3,4,8,3,5,2,2,3,No,5,Watching Sports,1,No,No,5
858-22-8290,30,Male,1,39,7,10,5,1,3,3,1,5,Yes,5,Reading,1,No,No,1
894-23-4350,26,Female,1,19,4,4,6,4,4,1,2,5,Yes,3,Social Media Engagement,5,Yes,Yes,1
839-24-2141,23,Male,4,43,4,12,9,2,5,2,1,9,Yes,4,Reading,1,No,Yes,2
783-83-0580,28,Genderfluid,4,4,7,6,7,2,5,3,5,8,No,3,Exercise,5,Yes,Yes,2
858-67-4388,29,Female,2,42,2,6,1,2,3,5,2,7,Yes,4,Social Media Engagement,5,Yes,No,3
744-22-9388,30,Male,3,25,6,11,2,5,5,4,2,3,Yes,5,Travelling,4,Yes,Yes,5
762-39-4942,18,Male,1,20,4,4,1,2,3,1,2,10,No,2,Watching Sports,2,No,Yes,4
463-52-5345,29,Female,2,48,2,7,1,2,2,3,4,2,Yes,1,Travelling,2,Yes,No,2
392-14-8873,23,Male,2,51,0,9,8,1,5,1,5,4,Yes,5,Reading,1,No,Yes,3
789-40-6037,24,Male,1,35,4,5,8,3,2,4,4,7,Yes,4,Travelling,4,No,Yes,1
136-03-8608,22,Male,1,32,7,8,6,2,3,2,3,8,Yes,1,Travelling,1,Yes,Yes,2
513-74-3727,24,Male,2,27,2,10,9,2,3,4,4,3,Yes,4,Yoga,3,Yes,No,2
668-31-1758,19,Female,4,3,8,12,7,1,2,2,1,8,No,1,Exercise,5,Yes,No,3
729-58-5962,24,Male,3,48,0,7,5,2,5,3,3,4,Yes,1,Travelling,4,No,Yes,4
312-59-9234,24,Female,1,54,1,8,3,3,5,3,5,9,No,1,Yoga,3,Yes,Yes,2
146-66-6851,20,Male,0,15,2,11,10,5,5,4,4,5,Yes,1,Travelling,4,No,No,4
864-73-0913,21,Male,3,0,7,4,3,4,3,4,5,10,No,5,Yoga,5,Yes,Yes,2
897-17-0811,18,Female,0,4,1,6,10,4,1,4,2,7,Yes,1,Social Media Engagement,1,No,No,2
488-51-3997,22,Female,4,32,6,5,7,1,2,1,1,2,Yes,5,Watching Sports,2,No,No,5
251-46-4115,26,Non-binary,3,12,3,7,4,2,2,5,3,4,No,2,Walking or Nature Walks,4,No,No,3
110-77-5199,26,Male,2,26,6,5,3,5,2,1,5,6,No,2,Reading,3,No,No,1
337-38-5119,18,Non-binary,1,43,1,10,1,5,3,3,1,7,No,4,Reading,2,Yes,No,3
652-68-4139,21,Male,0,10,0,5,9,3,1,4,2,6,No,3,Yoga,3,No,Yes,3
389-50-2944,30,Female,0,25,5,9,8,1,2,1,2,2,No,2,Travelling,2,No,Yes,5
757-52-0603,30,Male,4,8,6,4,7,5,5,1,4,3,Yes,4,Yoga,4,No,No,3
276-75-5554,29,Polygender,4,0,2,5,1,4,5,2,2,6,Yes,5,Social Media Engagement,3,No,No,4
421-35-8280,30,Male,0,44,4,11,5,5,5,1,5,2,Yes,2,Watching Sports,1,No,Yes,2
637-82-3471,23,Male,4,31,8,11,5,4,4,3,4,7,No,3,Reading,5,Yes,No,4
454-66-7440,22,Non-binary,4,58,0,9,6,2,5,2,5,9,Yes,2,Exercise,1,Yes,Yes,1
753-28-7167,27,Male,0,18,1,7,5,5,1,3,2,3,Yes,1,Reading,4,Yes,No,2
203-49-0874,22,Female,0,44,1,7,0,2,5,4,5,4,No,4,Reading,5,No,Yes,2
415-41-7143,26,Male,3,4,4,4,1,3,3,3,1,4,No,4,Exercise,3,No,Yes,1
352-71-4280,19,Male,1,56,8,10,0,2,4,1,4,4,No,3,Reading,5,No,Yes,1
237-08-5949,18,Female,1,29,8,11,6,4,5,3,2,8,No,2,Reading,2,Yes,Yes,1
134-38-2267,24,Female,3,4,8,8,1,1,3,5,2,9,No,3,Spending Time Alone,2,Yes,No,2
547-88-1614,29,Genderfluid,4,23,3,6,6,2,5,3,3,2,Yes,5,Walking or Nature Walks,2,Yes,No,1
804-74-5321,28,Male,2,29,1,8,0,4,3,5,5,2,Yes,3,Exercise,3,Yes,Yes,5
313-73-8228,22,Female,2,49,2,5,1,2,1,3,5,3,No,3,Travelling,4,No,Yes,4
808-63-1924,29,Male,2,44,4,6,4,2,2,3,5,3,Yes,1,Reading,2,No,No,4
642-70-1410,23,Female,0,47,6,8,9,5,2,1,4,6,Yes,5,Meditation,5,No,Yes,2
556-62-7808,28,Male,3,24,5,10,10,5,5,1,4,9,No,5,Meditation,5,Yes,Yes,1
800-14-7482,24,Female,1,11,8,5,10,3,4,4,5,6,No,1,Walking or Nature Walks,3,No,Yes,4
662-06-0085,24,Male,2,21,8,5,0,4,4,5,1,8,No,4,Spending Time Alone,4,No,No,1
299-74-7887,19,Female,4,47,7,11,10,5,3,4,3,5,No,3,Social Media Engagement,1,No,Yes,3
145-29-0147,18,Male,1,14,5,8,3,4,3,1,2,8,No,3,Spending Time Alone,2,Yes,No,1
815-87-5163,24,Male,2,7,7,10,3,3,2,3,2,5,No,3,Social Media Engagement,5,Yes,Yes,5
753-61-1198,27,Female,0,45,8,12,6,1,5,3,1,9,No,3,Yoga,4,Yes,No,3
461-28-4962,24,Male,1,4,7,5,1,1,1,4,1,7,Yes,4,Watching Sports,4,No,No,5
